"method","e0_2050","lo80","hi80","width80"
"LC",87.9853683539239,86.1007304434711,89.6917125896932,3.59098214622215
"LCP",88.0210918382543,86.529891236713,89.4048251430062,2.87493390629322
"LM",87.8599198132437,86.2510831261321,89.3411800352278,3.09009690909565
"BMS",87.9513881023612,86.4465041153642,89.3418663498575,2.89536223449335
"LCedag",87.6070155208101,85.510423297979,89.4873431179571,3.97691981997814
"MLCedag",87.4743228504267,85.4486552882875,89.2907270944568,3.84207180616933
