"alpha_en","frac","lambda_max_med","nrep_ok","bias2","variance","mse","mse_med","cor_med"
1,0,665.49416975147,100,0.000240419184662812,0.0169098209183505,0.0169811418938298,0.0149057011833977,0.711161417633837
1,1e-04,665.49416975147,100,0.000233965206019694,0.0168114727690043,0.0168773232473339,0.0147656573359596,0.711975194838096
1,3e-04,665.49416975147,100,0.000221583851069537,0.0166180488288856,0.0166734521916663,0.0144919528697875,0.713563643272752
1,0.001,665.49416975147,100,0.000184055816841542,0.0159816540490313,0.0160058933253825,0.0138014292553263,0.719950612660632
1,0.003,665.49416975147,100,0.000114782572091533,0.0143895453004453,0.0143604324195324,0.012568045045361,0.724486594589526
1,0.01,665.49416975147,100,0.000148945818022024,0.0106203079833769,0.0106630507215652,0.0092307654619109,0.726400938523839
1,0.03,665.49416975147,100,0.00147169728425555,0.00560089581216212,0.00701658413829605,0.00662173991716116,0.703101702118014
1,0.1,665.49416975147,100,0.00707203378047775,0.00101860124435191,0.00808044901238614,0.00828529871664892,0.486136476704355
1,0.2,665.49416975147,100,0.00832307441478009,0.000417853239815183,0.00873674912219712,0.00864648125742935,0.451237563712017
1,0.4,665.49416975147,100,0.00947697507027909,0.000154530048007044,0.00962995981780606,0.00960727503534119,0.359751743655999
1,0.7,665.49416975147,100,0.0104667859575632,1.63734037486784e-05,0.0104829956272744,0.0105330253144573,0.273014922676532
1,1,665.49416975147,100,0.0106754084449725,4.31437488299474e-33,0.0106754084449725,0.0106754084449725,0.19384005900161
0.5,0,1330.98833950294,100,0.000240419184662812,0.0169098209183505,0.0169811418938298,0.0149057011833977,0.711161417633837
0.5,1e-04,1330.98833950294,100,0.00023353664182857,0.016804475170949,0.0168699670610681,0.0147593116816562,0.7120099770819
0.5,3e-04,1330.98833950294,100,0.000220390457373362,0.01659777593515,0.0166521886331719,0.0144736580876222,0.713664796044411
0.5,0.001,1330.98833950294,100,0.000180939495960393,0.0159205070489817,0.0159422414744523,0.0137698284612114,0.720035416513314
0.5,0.003,1330.98833950294,100,0.000110690405646262,0.0142454792144194,0.0142137148279215,0.012454003042005,0.725163382870548
0.5,0.01,1330.98833950294,100,0.000164014186488835,0.0103596462942269,0.0104200640177735,0.0089262498166539,0.728226672784431
0.5,0.03,1330.98833950294,100,0.0015841437956217,0.00533507999513454,0.00686587299080489,0.00637258933829308,0.704778324468257
0.5,0.1,1330.98833950294,100,0.00712244602153399,0.000971335947222316,0.00808406860928409,0.00827545510220486,0.486212028900457
0.5,0.2,1330.98833950294,100,0.0083408861883468,0.000407040147733497,0.00874385593460297,0.00865896151701963,0.450486900234696
0.5,0.4,1330.98833950294,100,0.0094925008207299,0.000149619194438741,0.00964062382322425,0.00961728113744795,0.359657228033968
0.5,0.7,1330.98833950294,100,0.0104712556530347,1.56780977926238e-05,0.0104867769698494,0.0105359274092002,0.272558443019575
0.5,1,1330.98833950294,100,0.0106754084449725,4.38538139104538e-33,0.0106754084449725,0.0106754084449725,0.19384005900161
0,0,350364.429321893,100,0.000240419184662812,0.0169098209183505,0.0169811418938298,0.0149057011833977,0.711161417633837
0,1e-04,350364.429321893,100,0.000117962336884497,0.0143168733686737,0.0142916669718714,0.0125070395416341,0.723089144103595
0,3e-04,350364.429321893,100,0.000127523575969911,0.011209709315486,0.011225135798301,0.00992709918491832,0.734304571692675
0,0.001,350364.429321893,100,0.000811909508209176,0.00660916292994698,0.00735498080885668,0.00658404916563306,0.737204990830604
0,0.003,350364.429321893,100,0.00270061749617896,0.00311192614109333,0.00578142437586136,0.0053071023931181,0.720873251242543
0,0.01,350364.429321893,100,0.00526852846277617,0.00108660814904109,0.00634427053032686,0.00618054795008081,0.66510265353505
0,0.03,350364.429321893,100,0.0071920428799301,0.000362344378648502,0.00755076381479212,0.0075176432895695,0.601796439069775
0,0.1,350364.429321893,100,0.00884701500603177,8.7051195152923e-05,0.00893319568923316,0.00896256456373911,0.548549246806266
0,0.2,350364.429321893,100,0.00955028942025916,3.22475486993919e-05,0.00958221449347156,0.0096172694395037,0.530068903493945
0,0.4,350364.429321893,100,0.0100356247357772,1.04081978473107e-05,0.010045928851646,0.010067842753434,0.515363861451618
0,0.7,350364.429321893,100,0.0102865914390206,3.85453026199187e-06,0.01029040742398,0.010304757027623,0.509784018003745
0,1,350364.429321893,100,0.0103961169752078,1.99246445344983e-06,0.0103980895150167,0.010408873400126,0.506316774397279
