"N","method","zero_cells","a_bias","a_bias2","a_var","a_mse_med","b_bias2","b_var","b_mse_med","b_cor_med","breakdown","k_bias2","k_var","drift_med","drift_bias","drift_iqr"
10000,"LC",213.98,0.439023790830423,16.8324365073175,0.215362419786289,17.0211133037284,2.16528647011296,396.905395267858,0.490379380948762,-0.239522950962729,1,95.9708252213344,38.866396305391,-0.109757565619406,0.25802348098643,0.1187465844049
10000,"LASSO2",213.98,0.415147043415917,14.9447784465716,0.20580990419893,15.1047181703225,0.533129239462327,8.31617966802275,0.908067428381176,-0.381427783349038,1,100.734855675775,9.85293064863509,-0.141129999167225,0.226651047438612,0.093976326354346
10000,"LASSO5",213.98,0.422491921053633,15.2890137128788,0.142901524110108,15.319207971552,2.19994175513042,15.0392670207448,1.20835843102068,-0.440535428379865,1,116.360578471457,7.00696495568041,-0.117094014806711,0.250687031799125,0.100219390089751
10000,"LASSO10",213.98,0.451813758442563,18.1819338425874,0.109933359234833,18.2616084682505,3.02453030608883,13.2160260422375,1.50944891633055,-0.542811747732705,1,123.771554002535,7.47170784972072,-0.0992850202486745,0.268496026357162,0.113449333488452
10000,"LASSO20",213.98,0.381806487443156,16.091729271179,0.152506344737932,16.1552049025806,2.52133845423568,11.6190010993304,1.30103597561689,-0.530324311117576,1,132.727173566124,7.78301990125663,-0.0936166291097016,0.274164417496135,0.102287154626201
20000,"LC",156.45,0.218805663350024,6.82448394248332,0.214585987107228,7.02293825631213,0.434516268964372,17.5512785234308,0.464318663742882,-0.266768255335023,1,107.351618383139,43.6510484166838,-0.102217821602709,0.265563225003127,0.151822675358381
20000,"LASSO2",156.45,0.190957837407114,5.57733719437445,0.203665579875959,5.74384104648233,0.347869567805526,0.391586847737462,0.316668263395621,-0.317089296195291,1,70.726340791542,8.53030602322432,-0.176655661089284,0.191125385516552,0.109895039052423
20000,"LASSO5",156.45,0.1986313184167,6.25224411040197,0.150772270351275,6.23688190102118,0.585320415646423,2.70156092497653,0.371915343482307,-0.373128439287533,1,81.8569929577596,7.08155396710793,-0.17478025058749,0.193000796018346,0.0961666488221445
20000,"LASSO10",156.45,0.219305387464179,8.02551114738383,0.0911980689289579,8.09552402640602,97.0901080637661,8303.23196971547,0.60482921216707,-0.506016890122607,1,107.443128118885,5.53093327134767,-0.13805681048116,0.229724236124677,0.0832241150839964
20000,"LASSO20",156.45,0.169029660256511,7.97298001703018,0.263585170304592,8.25093129110837,2.23933954320557,101.771829188526,0.571569680824245,-0.468927107863116,1,109.247264779833,6.36928259666931,-0.12990709675012,0.237873949855716,0.0827926209187102
50000,"LC",89.16,0.0327409040469519,1.37058194518045,0.183231074259823,1.55553352829899,3.50941010551626,237.194375606916,0.477157856929745,-0.0450946956919377,1,132.402732266857,56.2817804321368,-0.0646595932921225,0.303121453313714,0.118043103585849
50000,"LASSO2",89.16,0.0236381765718329,1.05085852621804,0.232864902640127,1.24793472342425,0.0531406443579692,0.395139253108094,0.111639014410593,0.0433934385973362,1,39.2450684005159,16.4536081996921,-0.221866457209394,0.145914589396442,0.116156306019832
50000,"LASSO5",89.16,0.03026294990013,1.98213617389094,0.17946302264526,2.12060900016571,0.0784020165166553,0.103600601327521,0.102933182771865,0.0448098846426141,1,44.6785654478414,8.6767253321531,-0.242702500460888,0.125078546144949,0.120991337756643
50000,"LASSO10",89.16,0.0313887660769624,3.3430965974774,0.131836445268519,3.43500967279684,0.119559668157225,0.236880325634775,0.0861080681573108,-0.0941546061311944,1,56.7136948375458,8.70573245332177,-0.225784935061507,0.14199611154433,0.10987628439133
50000,"LASSO20",89.16,0.0110837592994059,4.44269147862927,0.179065004137898,4.52977263648688,0.0814438220150275,0.263018758998014,0.0480739676589256,-0.099776414855909,1,48.5023482696032,8.02230907891764,-0.246555713809391,0.121225332796445,0.0974900454290032
1e+05,"LC",48.81,-0.0311836972315171,0.267833366162419,0.173315976052011,0.42298542508455,0.308859267119972,20.0525233282825,0.190304492892444,0.16732809654008,1,90.5846208023856,77.0782523711734,-0.0886990059759231,0.279082040629914,0.178207061446953
1e+05,"LASSO2",48.81,-0.019064648184824,0.229083180331622,0.235298794182554,0.421732103514964,0.01159288575,0.0379310732234048,0.0373199951513567,0.391493937019847,0.99,12.1230356939213,20.1919507176569,-0.314553043219268,0.053228003386569,0.120381013873708
1e+05,"LASSO5",48.81,-0.0160102378877083,0.918163397413497,0.193448665430573,1.0146573839683,0.0109186025947839,0.0200790024621011,0.0228621120121197,0.418536952522408,0.99,12.1835750039887,8.49658266705295,-0.368288203874924,-0.00050715726908751,0.0945316513686504
1e+05,"LASSO10",48.81,-0.0196231024347404,2.38141583320813,0.181304555985341,2.5394513295266,0.00844441334651858,0.0142264464157101,0.0161557792681181,0.405003891791199,0.99,20.1789463027636,6.19622623338803,-0.353786547039128,0.0139944995667081,0.09241277524514
1e+05,"LASSO20",48.81,-0.0469672601484482,4.41236215175354,0.21314070608334,4.6409927828163,0.00726743851532828,0.00788397921363892,0.0100540426612822,0.456784624539321,0.97,21.5090444971986,6.2718092971222,-0.36003170322198,0.00774934338385619,0.0917344116555139
2e+05,"LC",21.68,-0.0511172557531506,0.112543179082865,0.121350555332952,0.214250644691465,0.0140599183033736,0.301232644866714,0.0530707354158387,0.564228726203251,0.97,40.7678443795826,98.7964556885633,-0.215729882783902,0.152051163821935,0.200138858461783
2e+05,"LASSO2",21.68,-0.0269520627856802,0.0830471616032706,0.145463970906753,0.193128957646482,0.00125370423637421,0.0218700046745748,0.0167124177761341,0.618847332611985,0.85,6.34984234495879,19.5374115998646,-0.347596109563666,0.020184937042171,0.118290117780133
2e+05,"LASSO5",21.68,-0.0155021777106058,0.49120009054337,0.122193750054887,0.606102301251103,0.00389239937882566,0.0144347567074712,0.0111676717221473,0.551539162677579,0.92,10.3508753688435,9.72434744143045,-0.38911369032931,-0.0213326437234732,0.0990058658553866
2e+05,"LASSO10",21.68,-0.00953059827869463,1.96888791065661,0.136060507992599,2.05090361674878,0.0034529658253103,0.00855512579440702,0.00803820244705026,0.653738705173891,0.9,16.199843016192,8.09490608659666,-0.406223418178389,-0.0384423715725528,0.111510900475109
2e+05,"LASSO20",21.68,-0.060472387012444,4.24474483974125,0.152506279636786,4.3429779106586,0.00361872428667376,0.00511049585835324,0.00623412879836923,0.70961275704653,0.84,18.5979326774151,5.82977828259347,-0.395789947491155,-0.0280089008853182,0.0887798773661624
5e+05,"LC",3.98,-0.0367308538973046,0.0917004214162562,0.0788962389084734,0.158959735380292,0.00701948055438132,0.0700107675211777,0.0216299660480718,0.764318600232917,0.61,7.17210385330432,85.2799755458263,-0.286142248992419,0.0816387976134181,0.177359448649574
5e+05,"LASSO2",3.98,-0.0129947010151586,0.0337536101945997,0.08975849064607,0.103667648698065,0.000484346494782611,0.00881381996277606,0.00831117202478877,0.796818768872113,0.53,5.79710257646312,10.7797711608261,-0.371438635924558,-0.00365758931872101,0.0875733132397282
