"method","drift","sigma","k_lin_resid"
"LC",-0.412631275793621,0.85053790882419,0.959779806974885
"LCP",-0.409148501099381,0.679857937882813,0.797095930769245
"LM",-0.406428223904619,0.731761121470688,0.907113067558326
"BMS",-0.404191682665683,0.689549141927493,0.786360568272991
"LCedag",-0.359260953237872,0.879398406230318,0.726210568811552
"MLCedag",-0.349081129916542,0.856582298358628,0.702557744648065
