"method","frac","nrep","bias2","variance","mse"
"LASSO",0.03,100,0.00218645658048878,0.00483909781994933,0.00697716342223861
"MCP",0.03,100,0.0021845661640087,0.00484450451016621,0.00698062562907325
"Elastic Net",0.1,100,0.0046301262207287,0.00255353779704682,0.00715812863980506
"adaptive LASSO",0.4,100,0.0031320291456146,0.00532099852109205,0.00839981768149572
"relaxed LASSO",0.2,100,0.00733456740245597,0.00191941369175802,0.00923478695729641
