"N","估計量","平均零格","alpha偏誤中位","alpha偏誤最大","SSE_beta","cor_beta","漂移偏誤","發散率"
10000,"A 標準 LC（對照）",206.1,0.1612,2.3309,7.9159,-0.074,0.3436,0
10000,"F 中位數 LC",206.1,0.0965,2.302,10.8638,-0.077,0.3671,0
10000,"G 加權中位數 LC",206.1,0.0733,2.302,4.9504,0.023,0.2986,0
50000,"A 標準 LC（對照）",100.3,0.0611,0.8658,4.4494,0.037,0.3339,0
50000,"F 中位數 LC",100.3,0.0284,0.6925,5.3489,0.013,0.311,0
50000,"G 加權中位數 LC",100.3,0.0187,0.6925,1.5482,0.084,0.1591,0
2e+05,"A 標準 LC（對照）",29.4,0.0231,0.1846,1.4004,0.379,0.2117,0
2e+05,"F 中位數 LC",29.4,0.0048,0.178,1.0546,0.443,0.0696,0
2e+05,"G 加權中位數 LC",29.4,0.0032,0.1818,0.5364,0.435,0.0428,0
