"N","sig_a_svd","sig_b_svd","sig_a_mle","sig_b_mle","max_abs_t_a_svd","max_abs_t_b_svd","max_abs_t_a_mle","max_abs_t_b_mle"
10000,9,0,NA,0,56.3683420494015,0.219258535271471,NA,0.337311286186526
20000,7,0,NA,0,31.042885459746,0.210389381146212,NA,0.172960157329461
50000,3,0,0,0,9.40383363710903,0.0939469321253802,0.224939624017383,0.265695187041831
1e+05,1,0,0,0,2.62086260197687,0.053776830167276,0.23148424197477,0.234979726555976
2e+05,0,0,0,0,1.23229772202862,0.0503963100106072,0.220508655209737,0.121865739950271
5e+05,0,0,0,0,1.33080567904447,1.46583562271188,0.218478815562636,0.121367465876278
1e+06,0,0,0,0,1.06328767441679,1.87222934969321,0.143937677377265,0.126782490500783
2e+06,0,0,0,0,0.767761183990718,1.32125117193687,0.136030577645443,0.148243577047008
5e+06,0,0,0,0,0.462507595568487,0.763801363102749,0.181087208384302,0.122847537482218
