"method","MAE","MSE","MAE_h1","MAE_h10","ME_e0","MAE_e0","MAE_edag","drift","k_lin_resid"
"LC",0.102807576361553,0.0184590084028847,0.0730578074793513,0.152986141633806,-0.30674738190549,0.452472107044088,0.0873397483230534,-0.460059910219524,0.627941963238446
"LM",0.10013629367883,0.0200623052821929,0.0506653646722809,0.165455945442679,-0.360772373855637,0.460736555022358,0.0644942629009893,-0.46406728445313,0.620625019640224
"LCP",0.121062973362326,0.0274878003055144,0.101780316721359,0.157666522923591,-0.332428834208559,0.459145571104455,0.129524404074191,-0.460319759725776,0.593429294131939
"LCedag",NA,NA,NA,NA,NA,NA,NA,NA,1.02076925364667
