"lxx","lxt","ltt","sse_b","sse_a","mse_drift"
20,5,5,0.00540951561319784,4.38026111894092,0.00588448308093706
20,5,20,0.00556843867243347,4.43189783591177,0.0064190321003875
20,5,1,0.00586380390928726,4.47638347243525,0.0053137372498006
5,5,20,0.00605891548212235,0.589560411621011,0.0047279193252759
5,5,5,0.00654324665832527,0.566449532852126,0.00485564477817504
1,5,20,0.00712922090869984,0.19976508716307,0.00547180261210555
1,5,5,0.00720478443625513,0.196357602649693,0.00534249595174641
20,2,5,0.00737941601666961,4.50591155155418,0.00736711364684896
20,2,20,0.00744296139425446,4.51317870744221,0.00775285063116555
0,5,20,0.00801621387831596,0.21390507693542,0.00608727963204174
5,5,1,0.00816265190045747,0.596703621820152,0.005868566807505
5,2,20,0.008698957606562,0.579891504788814,0.00551422986430227
0,5,5,0.00892604506114897,0.219493523158913,0.00480205521492422
20,2,1,0.00928828412168385,4.38881125623557,0.00690705530681492
1,5,1,0.00964043294920676,0.187897055622093,0.00566480934047376
1,2,20,0.0101723850662817,0.204318716462822,0.00586333652762959
5,2,5,0.010292245950701,0.576113601997149,0.00522181265851433
0,5,1,0.0105938044247185,0.226127336510504,0.00586959246009439
20,5,0,0.0108977592446115,4.64214430408437,0.0209921852104252
1,2,5,0.0114020100481387,0.199800642603866,0.00558317496886502
1,5,0,0.0115665457663303,0.17648022557284,0.0132688260544087
5,2,1,0.0116994922831015,0.543089980168603,0.00574993986563681
5,5,0,0.0117309221506479,0.475823181375009,0.0122012052986239
20,0,20,0.0121318960003572,4.45121561908993,0.00958569254430422
0,2,20,0.0125881675347645,0.215739827167026,0.00577865246685019
20,0,5,0.0128930378539805,4.50399679927532,0.00915716175068055
1,2,1,0.0129369564721298,0.200613432801889,0.00622378871851242
5,0,20,0.0131554518983542,0.576273693479566,0.00600405801033568
5,0,5,0.0131741871293884,0.529697263291042,0.0055740163515168
0,5,0,0.0132002841171771,0.217074023302891,0.0121577948917454
0,2,5,0.0142135706176167,0.225210287893783,0.00498489932340651
1,0,5,0.0152573506529392,0.192664216848871,0.00442812635479151
0,2,1,0.0154903665589643,0.221042276153421,0.00644367673670164
5,0,1,0.0159232492083785,0.490837442647805,0.00889738512433535
1,0,1,0.016523171438698,0.193667005620881,0.0144836508071126
20,0,1,0.0166354809148239,4.37157716310328,0.0124079493466771
1,0,20,0.0176898028101685,0.205809473930931,0.00596976551840159
0,0,5,0.0200885284742918,0.228355910342077,0.00480765172265395
5,2,0,0.020882869132534,0.4083023006108,0.0182138639259619
1,2,0,0.0220613607402815,0.199563844427617,0.0243464972916924
0,0,1,0.0221651967482529,0.225948366493301,0.0167371228607016
0,2,0,0.0225344530273148,0.215674896696276,0.0241900908552709
0,0,20,0.0241351152246309,0.23553762395316,0.00570958475803132
20,2,0,0.0248057250217009,5.13442864722272,0.0314489051846119
1,0,0,0.0540194115916557,0.224123112826032,0.042972171219891
0,0,0,0.0540194116015475,0.224123112848716,0.0429721712850104
5,0,0,0.0697623765280048,0.245127190217859,0.0614869119951583
20,0,0,0.113455308515914,6.15717860503273,0.0751881467999793
