"N","oracle_lambda","oracle_sse","oracle_lambda_alpha","cv_lambda_mode","cv_sse","cv_regret","fc_lambda_mode","fc_sse","fc_regret","bt_lambda_mode","bt_sse","bt_regret"
50000,40,0.0252780442731574,1,2,0.0881282478518887,3.48635546720168,5,0.0937260141571974,3.70780322814468,40,0.0530776375195052,2.0997525340941
2e+05,20,0.00621292796356103,2,2,0.0175377266487745,2.82277965423608,5,0.013779971988561,2.21795135391571,20,0.00654344441654929,1.05319817885009
1e+06,5,0.00360237287982349,1,2,0.00384276053226232,1.06673036369589,1,0.00394189122542634,1.09424852921375,5,0.00392312134723067,1.0890381085211
