"method","MAE","MSE","rough_age","rough_time"
"Observed",0,0,0.0203871813359862,0.0981170130726473
"1D spline (L2, age)",0.0538354462715749,0.0218410883194463,0.0139984120542437,0.0907949855797506
"2D spline (L2)",0.0758726786441282,0.0246683929635478,0.0137225809240264,0.00249087874609761
"LASSO (L1)",0.0412598010035996,0.00472067974959282,0.0179491862754801,0.00121424274847689
