"lambda","frac","deviance","nfree","bic","aic"
69811.974355773,1,9132.2727427115,0,9664.65091560581,9282.2727427115
47562.3444538659,0.681292069057961,9132.27270854449,0,9664.6508814388,9282.27270854449
32403.8480622218,0.464158883361278,8794.26356873313,5,9362.13361982039,8954.26356873313
22076.4846917509,0.316227766016838,8196.11277658676,9,8792.37633022839,8364.11277658676
15040.5339331694,0.215443469003188,7576.79217463098,12,8194.35085518838,7750.79217463098
10246.9964830654,0.146779926762207,7167.38681988113,13,7792.04387607712,7343.38681988113
6981.1974355773,0.1,6910.50854158253,14,7542.26397341711,7088.50854158253
4756.23444538659,0.0681292069057961,6762.29526633896,18,7422.4442007279,6948.29526633896
3240.38480622218,0.0464158883361278,6654.35501478135,18,7314.50394917029,6840.35501478135
2207.64846917509,0.0316227766016838,6606.25219998112,18,7266.40113437006,6792.25219998112
1504.05339331694,0.0215443469003188,6578.42047107518,19,7245.66778110272,6766.42047107518
1024.69964830654,0.0146779926762207,6564.97447316762,19,7232.22178319516,6752.97447316762
698.11974355773,0.01,6558.39329831932,20,7232.73898398544,6748.39329831932
475.623444538659,0.00681292069057961,6554.98407411684,21,7236.42813542155,6746.98407411684
324.038480622218,0.00464158883361278,6553.34819220758,21,7234.7922535123,6745.34819220758
220.764846917509,0.00316227766016838,6552.57480241844,21,7234.01886372316,6744.57480241844
150.405339331694,0.00215443469003188,6552.17855554521,22,7240.72099248851,6746.17855554521
102.469964830654,0.00146779926762207,6551.98547143883,22,7240.52790838213,6745.98547143883
69.811974355773,0.001,6551.89451773287,22,7240.43695467618,6745.89451773287
47.562344453866,0.000681292069057962,6551.85141314133,22,7240.39385008464,6745.85141314133
32.4038480622218,0.000464158883361278,6551.8308073649,22,7240.3732443082,6745.8308073649
22.0764846917509,0.000316227766016838,6551.82083734058,22,7240.36327428389,6745.82083734058
15.0405339331694,0.000215443469003188,6551.8159339731,22,7240.3583709164,6745.8159339731
10.2469964830654,0.000146779926762207,6551.81347040636,22,7240.35590734966,6745.81347040636
6.98119743557731,1e-04,6551.81219914309,22,7240.35463608639,6745.81219914309
