"N","oracle_lambda","oracle_sse","oracle_lambda_alpha","cv_lambda_mode","cv_sse","cv_regret","fc_lambda_mode","fc_sse","fc_regret","bt_lambda_mode","bt_sse","bt_regret"
50000,40,0.0241810335164165,1,2,0.173022201331611,7.15528561730607,5,0.191037234877632,7.90029238195866,20,0.116070712735606,4.80007244755709
2e+05,40,0.00604159802631459,1,2,0.0128757383259448,2.13118090112313,2,0.0139807044770629,2.31407392815096,20,0.00851993114334576,1.41021152122942
1e+06,5,0.00241544112814471,1,2,0.00384050055206825,1.58997895138852,2,0.00266136731484051,1.10181419196281,20,0.00316764699104929,1.31141552329298
