"N","method","zero_cells","a_bias","a_bias2","a_var","a_mse_med","b_bias2","b_var","b_mse_med","b_cor_med","breakdown","k_bias2","k_var","drift_med","drift_bias","drift_iqr"
10000,"LC",214.56,0.441103655649596,16.8263698081014,0.197554287648155,16.9747217385304,7.73123441411787,341.221447092201,0.653075777227535,-0.275248611171274,1,111.03179426402,31.2262982863265,-0.1096619680502,0.258119078555637,0.155155694586611
10000,"LASSO2",214.56,0.410835130173742,14.8969879453333,0.198721694569443,15.0285546782824,5.52412570369454,382.218427801311,1.01241631546669,-0.368937440418246,1,118.028938049792,8.55409676502586,-0.11886362147812,0.248917425127716,0.0860434244784045
10000,"LASSO5",214.56,0.420922194446015,15.2510078016501,0.125731927512374,15.2472658546022,0.708242038653055,28.0033207528408,0.952282927346915,-0.434543081701672,1,118.234349010941,8.59709406812642,-0.107253503726015,0.260527542879822,0.10810841121651
10000,"LASSO10",214.56,0.450865202616736,18.17592274924,0.103111023149983,18.2635132502421,1.55835223337863,112.626371796146,1.62212412180187,-0.538586314168639,1,129.107761332837,8.62146647668321,-0.0945894831756669,0.27319156343017,0.101650833558738
10000,"LASSO20",214.56,0.380948780880718,16.0854516991964,0.146733611566244,16.1236939229971,0.0469286596926527,9.09698189593021,1.36698459804419,-0.509461106236396,1,135.587981821147,11.0202188956012,-0.0848912824126388,0.282889764193198,0.127858830481493
20000,"LC",155.46,0.22116527037241,6.76660805353262,0.201046968527634,6.91917958158731,0.188812531818008,2.86178093547748,0.794881313321181,-0.265447986921203,1,124.644309913293,38.7940187305999,-0.0865359301790092,0.281245116426827,0.157706309379317
20000,"LASSO2",155.46,0.194358689166874,5.59468921914242,0.203591623302679,5.67377966426224,0.439566077975029,1.59511031275307,0.367711010100748,-0.358006169035757,1,61.2001375419727,13.4098181900246,-0.187312064897601,0.180468981708236,0.148636698082127
20000,"LASSO5",155.46,0.200040394060289,6.20149988698403,0.151060135642234,6.17909369240959,0.435198028700362,0.338076481077897,0.333431554024993,-0.376704918582345,1,73.174788825067,8.83524348987601,-0.181637060149098,0.186143986456738,0.145201535823839
20000,"LASSO10",155.46,0.22274511210307,8.01469620664542,0.0907937898244626,8.05546590370977,0.156449111952475,50.9642267687488,0.616487525541707,-0.505495241298299,1,104.942978945432,6.62100669329211,-0.132538756518427,0.23524229008741,0.109679422414319
20000,"LASSO20",155.46,0.168352331240455,8.00343846854862,0.269183320390151,8.26160395418261,0.978976816922712,0.783138040703235,0.54793691014789,-0.467276044731335,1,102.468584417293,8.16205027108233,-0.125667065978547,0.24211398062729,0.111194283483933
50000,"LC",88.94,0.0333857773432752,1.37513068160929,0.186356434124673,1.54875078212909,0.179455359423252,3.48592016490192,0.392553154946098,-0.128479745539233,1,126.754607561469,56.1604733183979,-0.0784367900950544,0.289344256510782,0.137879219113422
50000,"LASSO2",88.94,0.0268077979231629,1.03377454826313,0.225452284046379,1.19629978419646,0.0635734232380935,0.127662713759866,0.137699963104044,-0.00102535128210241,1,39.2289526701307,14.8418781101156,-0.23197181226422,0.135809234341616,0.0923264002769134
50000,"LASSO5",88.94,0.0330703593888658,1.92423537717518,0.168059825773247,2.01444241301937,1.51938603122391,49.4632601203307,0.0957673142335324,-0.0301948810786539,1,45.1219261804096,9.04171595121226,-0.228017828142212,0.139763218463624,0.107392182913229
50000,"LASSO10",88.94,0.0351588880628087,3.29470030017863,0.11992102461426,3.38075370775943,0.100120503455682,0.111541768355987,0.0939196638981918,-0.106464949498241,1,56.3808807634922,7.99609939683106,-0.223764310793222,0.144016735812614,0.121548604335166
